methodA,methodB,methodC,methodD,methodE
2,7.757089541937091,1.0883761455607475,8.15346466233293,2.056431714252543
2,-0.5117088392961744,1.3693167630378729,12.241982744017804,3.5984909434197556
3,7.43936690431014,2.0438725688928585,-3.3450588039546307,3.439754582381503
2,5.895637520946446,6.612537654522131,5.665831009703956,8.590483477244499
0,6.014207404555581,2.330464999931155,5.364872972626619,8.719163969391072
8,2.5874149942246008,1.8549613983338733,4.108966603828375,3.403972086790392
0,0.26179684346396304,4.2559545382169475,-0.8148465317774596,2.096559794280367
6,3.536072325899746,1.1555713129132892,-2.9434365664485034,0.7865362826992107
9,4.7606153938522215,1.1574213641185043,-1.2162422842236156,3.9372700320918486
9,3.852621048312349,3.0159020708632402,1.9726642805054344,2.9452074181374552
1,0.015018362916892514,6.766593755874466,7.59226413907324,8.101297243725421
4,4.637799639868417,3.4921914697758494,10.776648793473534,5.1673284636136865
6,4.606514216069713,2.5037734032268415,7.368577874601999,1.8158390578298675
8,4.191251136082498,5.291118141454247,4.278835594607236,3.634972323454961
1,4.373272816559755,2.212117504990703,-1.9576293571779155,3.251930849489503
6,-1.3357903569450862,4.279842691130526,5.5577447053758116,7.485777057170941
5,-0.5020864931628681,3.0431423009297864,0.7580554872785932,0.5131608134291685
8,2.6873484333811355,5.355917039786541,4.1127294998321124,3.6211307889718305
2,9.029465225197407,3.303238266767386,7.572919890609301,1.1804327345315686
8,1.0914564919954026,5.062942699329523,4.174445780453841,8.829114120362023
1,5.309110553172076,3.3280234962754496,2.110639105868258,2.527583894479233
9,2.37154820201362,3.2199604536632043,5.456120381142153,2.0623801105478305
4,3.5566980260865875,2.338110217778433,7.922407806634732,4.366963356920091
2,3.36412794983122,1.709102792988062,-0.1648194528354141,3.451241641187346
6,6.141397022947354,3.3730516642971664,1.351351772258219,5.1745161059352665
8,-1.011046082110843,4.907497795634137,6.5700488041766345,8.017764856228391
4,8.891765699011208,1.9477489379512645,4.21999810833649,7.169840180696529
8,8.326084325712074,4.868154833942405,5.457182011717218,6.082515844407823
1,8.172521868694718,3.0543657636095807,6.387523022629932,1.1971517910408886
2,1.0536553788311571,3.3387453840944032,3.6156446304215626,4.219558325402898
4,1.727494192805616,1.1811698216393447,3.3996603580463747,1.214600089587393
9,4.696989306977469,3.3955300795576466,6.9097228335773675,4.897598984924205
8,5.806981054797225,2.27005587682583,-1.2462227708245006,2.1381184906426514
6,8.926435562411577,2.5260712234372926,4.538773097063711,7.43548969979189
1,0.6677187555834019,5.054806599375445,4.979590562281533,0.20542501722808482
1,1.652557908271938,2.2070359996985296,3.998819156525806,0.048345253840244795
3,3.8847113436412077,6.781158226903658,9.682108637484166,3.554421254805208
